./newtonPC < entrada.dat
10
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+0
#
Iteração 	| Newton Padrão 	| Newton Inexato
0 		| 9.27090000000000e-02	| 9.27090000000000e-02	 
1 		| 1.72793152576075e-04	| 1.56108591282490e-04	 
2 		| 1.00128041093770e-06	| 5.95151305778203e-06	 
3 		| 1.39877012830835e-12	| 5.47459252005541e-06	 
4 		| 1.17551915901094e-22	| 5.44259172663619e-06	 
5 		| 2.13115703926114e-29	| 5.41373175223766e-06	 
6 		| 8.28156039062333e-28	| 5.38607335964776e-06	 
7 		| 1.00875588255137e-27	| 5.35897667890805e-06	 
8 		| 2.93111130096182e-29	| 5.33219949283125e-06	 
9 		| 5.49675813567672e-28	| 5.30564087057371e-06	 
10 		| 1.27706719793967e-27	| 5.27925616592664e-06	 
11 		| 6.21141681200038e-28	| 5.25302370428894e-06	 
12 		| 8.52610727124185e-28	| 5.22693238459573e-06	 
13 		| 1.00875588255137e-27	| 5.20097626124073e-06	 
14 		| 2.93111130096182e-29	| 5.17515194821893e-06	 
15 		| 5.49675813567672e-28	| 5.14945735545295e-06	 
16 		| 1.27706719793967e-27	| 5.12389106581702e-06	 
17 		| 6.21141681200038e-28	| 5.09845202063320e-06	 
18 		| 8.52610727124185e-28	| 5.07313935644564e-06	 
19 		| 1.00875588255137e-27	| 5.04795231817710e-06	 
20 		| 2.93111130096182e-29	| 5.02289021205272e-06	 
21 		| 5.49675813567672e-28	| 4.99795237974474e-06	 
22 		| 1.27706719793967e-27	| 4.97313818404808e-06	 
23 		| 6.21141681200038e-28	| 4.94844700089934e-06	 
24 		| 8.52610727124185e-28	| 4.92387821491358e-06	 
25 		| 1.00875588255137e-27	| 4.89943121687790e-06	 
26 		| 2.93111130096182e-29	| 4.87510540234342e-06	 
27 		| 5.49675813567672e-28	| 4.85090017082801e-06	 
28 		| 1.27706719793967e-27	| 4.82681492536293e-06	 
29 		| 6.21141681200038e-28	| 4.80284907223186e-06	 
30 		| 8.52610727124185e-28	| 4.77900202081804e-06	 
31 		| 1.00875588255137e-27	| 4.75527318351221e-06	 
32 		| 2.93111130096182e-29	| 4.73166197565812e-06	 
33 		| 5.49675813567672e-28	| 4.70816781550838e-06	 
34 		| 1.27706719793967e-27	| 4.68479012419982e-06	 
35 		| 6.21141681200038e-28	| 4.66152832573182e-06	 
36 		| 8.52610727124185e-28	| 4.63838184694797e-06	 
37 		| 1.00875588255137e-27	| 4.61535011751741e-06	 
38 		| 2.93111130096182e-29	| 4.59243256992446e-06	 
39 		| 5.49675813567672e-28	| 4.56962863944856e-06	 
40 		| 1.27706719793967e-27	| 4.54693776415292e-06	 
41 		| 6.21141681200038e-28	| 4.52435938487147e-06	 
42 		| 8.52610727124185e-28	| 4.50189294519339e-06	 
43 		| 1.00875588255137e-27	| 4.47953789145101e-06	 
44 		| 2.93111130096182e-29	| 4.45729367270413e-06	 
45 		| 5.49675813567672e-28	| 4.43515974072958e-06	 
46 		| 1.27706719793967e-27	| 4.41313555000482e-06	 
47 		| 6.21141681200038e-28	| 4.39122055769611e-06	 
48 		| 8.52610727124185e-28	| 4.36941422364779e-06	 
49 		| 1.00875588255137e-27	| 4.34771601036387e-06	 
50 		| 2.93111130096182e-29	| 4.32612538299969e-06	 
Tempo total 	| 7.38561004400253e-01 	| 1.56716400384903e+00
Tempo derivadas | 0.00000000000000e+00 	| 0.00000000000000e+00
Tempo SL 	| 8.80700349807739e-03 	| 2.84200906753540e-03
#

32
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+100*(x11-x10^2)^2+(1-x10)^2+100*(x12-x11^2)^2+(1-x11)^2+100*(x13-x12^2)^2+(1-x12)^2+100*(x14-x13^2)^2+(1-x13)^2+100*(x15-x14^2)^2+(1-x14)^2+100*(x16-x15^2)^2+(1-x15)^2+100*(x17-x16^2)^2+(1-x16)^2+100*(x18-x17^2)^2+(1-x17)^2+100*(x19-x18^2)^2+(1-x18)^2+100*(x20-x19^2)^2+(1-x19)^2+100*(x21-x20^2)^2+(1-x20)^2+100*(x22-x21^2)^2+(1-x21)^2+100*(x23-x22^2)^2+(1-x22)^2+100*(x24-x23^2)^2+(1-x23)^2+100*(x25-x24^2)^2+(1-x24)^2+100*(x26-x25^2)^2+(1-x25)^2+100*(x27-x26^2)^2+(1-x26)^2+100*(x28-x27^2)^2+(1-x27)^2+100*(x29-x28^2)^2+(1-x28)^2+100*(x30-x29^2)^2+(1-x29)^2+100*(x31-x30^2)^2+(1-x30)^2+100*(x32-x31^2)^2+(1-x31)^2+0
#
Iteração 	| Newton Padrão 	| Newton Inexato
0 		| 3.19331000000000e-01	| 3.19331000000000e-01	 
1 		| 3.52208248906889e-04	| 3.35473217678114e-04	 
2 		| 1.00780165369481e-06	| 5.97432038882333e-06	 
3 		| 1.43382119447447e-12	| 5.49465716854509e-06	 
4 		| 1.23396108889813e-22	| 5.46251767110524e-06	 
5 		| 1.94010478877793e-28	| 5.43354234974591e-06	 
6 		| 3.34612609281794e-28	| 5.40577809676603e-06	 
7 		| 1.01072803481442e-29	| 5.37858005692164e-06	 
8 		| 2.20831749655307e-28	| 5.35170398838188e-06	 
9 		| 8.27145311027519e-28	| 5.32504807333789e-06	 
10 		| 5.40616239109275e-29	| 5.29856663931941e-06	 
11 		| 4.09714632649163e-29	| 5.27223789539242e-06	 
12 		| 1.22766478375020e-29	| 5.24605082953816e-06	 
13 		| 4.21978954535021e-28	| 5.21999953454199e-06	 
14 		| 8.56653639263443e-30	| 5.19408061901314e-06	 
15 		| 4.66414010211923e-29	| 5.16829197350845e-06	 
16 		| 6.32074800308336e-29	| 5.14263216053321e-06	 
17 		| 9.03590863124093e-28	| 5.11710010350141e-06	 
18 		| 1.84593451821717e-28	| 5.09169492396437e-06	 
19 		| 1.51362686189282e-29	| 5.06641585453361e-06	 
20 		| 1.01072803481442e-29	| 5.04126219146040e-06	 
21 		| 1.51707812835316e-28	| 5.01623326838798e-06	 
22 		| 1.33243537272487e-29	| 4.99132844165628e-06	 
23 		| 4.45583151933431e-29	| 4.96654708196339e-06	 
24 		| 1.73302880115741e-29	| 4.94188856960265e-06	 
25 		| 6.21277266668123e-28	| 4.91735229171003e-06	 
26 		| 4.20167039643341e-28	| 4.89293764066466e-06	 
27 		| 5.52104026041556e-28	| 4.86864401314883e-06	 
28 		| 2.52287578250995e-28	| 4.84447080958951e-06	 
29 		| 3.29349427929772e-29	| 4.82041743382973e-06	 
30 		| 2.98534548819577e-28	| 4.79648329292248e-06	 
31 		| 3.65082361745955e-28	| 4.77266779700522e-06	 
32 		| 4.61483629554292e-29	| 4.74897035921778e-06	 
33 		| 1.82547343848800e-29	| 4.72539039565428e-06	 
34 		| 9.73010622783542e-28	| 4.70192732531795e-06	 
35 		| 4.62962743751581e-29	| 4.67858057009692e-06	 
36 		| 7.22843108215328e-28	| 4.65534955473973e-06	 
37 		| 1.06234912029982e-27	| 4.63223370683914e-06	 
38 		| 1.40195373999747e-28	| 4.60923245681217e-06	 
39 		| 7.48197590747197e-28	| 4.58634523788493e-06	 
40 		| 1.05460842266734e-28	| 4.56357148608031e-06	 
41 		| 1.20667368810033e-27	| 4.54091064019915e-06	 
42 		| 6.97155824989069e-29	| 4.51836214181063e-06	 
43 		| 4.12179822977979e-29	| 4.49592543523510e-06	 
44 		| 3.08641829167721e-29	| 4.47359996753296e-06	 
45 		| 4.12179822977979e-29	| 4.45138518848868e-06	 
46 		| 3.08641829167721e-29	| 4.42928055059928e-06	 
47 		| 4.12179822977979e-29	| 4.40728550906112e-06	 
48 		| 3.08641829167721e-29	| 4.38539952175518e-06	 
49 		| 4.12179822977979e-29	| 4.36362204923512e-06	 
50 		| 3.08641829167721e-29	| 4.34195255471276e-06	 
Tempo total 	| 6.16875499486923e+00 	| 2.72814399003983e+00
Tempo derivadas | 0.00000000000000e+00 	| 0.00000000000000e+00
Tempo SL 	| 3.70180010795593e-02 	| 3.05300951004028e-03
#

