Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 3.00258509299405e+00	| 3.00258509299405e+00	| 
1 		| 2.95022082852655e+00	| 2.95022082852655e+00	| 
2 		| 2.94594313228550e+00	| 2.94594313228550e+00	| 
3 		| 2.94591015120774e+00	| 2.94591015120774e+00	| 
4 		| 2.94591014905531e+00	| 2.94591014905531e+00	| 
Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 4.67517018598809e+00	| 4.67517018598809e+00	| 
1 		| 4.08275018307130e+00	| 4.08275018307130e+00	| 
2 		| 3.57639074071603e+00	| 3.57639074071603e+00	| 
3 		| 3.20635891025572e+00	| 3.20635891025572e+00	| 
4 		| 3.00839120361623e+00	| 3.00839120361623e+00	| 
5 		| 2.95105650769247e+00	| 2.95105650769247e+00	| 
6 		| 2.94595666289606e+00	| 2.94595666289606e+00	| 
7 		| 2.94591015332732e+00	| 2.94591015332732e+00	| 
8 		| 2.94591014905531e+00	| 2.94591014905531e+00	| 
Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 5.46083629604581e+00	| 5.46083629604581e+00	| 
1 		| 4.34975014622771e+00	| 4.34975280072010e+00	| 
2 		| 3.57150332245764e+00	| 3.57150616935305e+00	| 
3 		| 3.32290880078183e+00	| 3.32290901941677e+00	| 
4 		| 3.29620081495115e+00	| 3.29620085014538e+00	| 
5 		| 3.29583691254300e+00	| 3.29583691275015e+00	| 
6 		| 3.29583686600433e+00	| 3.29583686604216e+00	| 
7 		| 			| 3.29583686600670e+00	| 
8 		| 			| 3.29583686600448e+00	| 
9 		| 			| 3.29583686600434e+00	| 
