N,n_newtonDefault_DP,o_newtonDefault_DP,n_newtonDefault_AVX,o_newtonDefault_AVX
10,2.0800,2.0452,0.8624,0.8528
32,38.5249,38.0321,30.8423,30.4566
50,136.6453,136.0128,119.7075,119.1629
64,271.2536,272.8823,244.8353,246.3149
100,904.7090,906.4786,848.9131,850.5823
128,1646.2170,1788.2220,1567.4271,1702.6439
200,3796.5082,3881.1536,3680.9947,3763.0695
250,5004.9554,5002.9713,4883.9475,4882.0146
256,5005.2652,5106.1586,4886.6762,4985.1822
300,5772.4586,5841.4095,5655.9103,5723.4712
400,6683.1711,6750.3476,6582.2061,6648.3688
512,7236.0271,7098.4589,7150.7604,7014.8138
600,7579.6786,7648.7921,7503.5194,7571.9388
1000,6135.4812,6373.9531,6098.5626,6335.5996
1024,5712.8088,6040.3843,5679.2419,6004.8927
2000,4189.7680,4192.6592,4177.1806,4180.0631
2048,4093.0833,4130.6685,4081.0750,4118.5500
3000,3920.6394,3931.9512,3912.7906,3924.0798
4096,3874.3992,3865.7959,3868.7198,3860.1291
