N,n_newtonGS_DP,o_newtonGS_DP,n_newtonGS_AVX,o_newtonGS_AVX
10,6.5871,7.3854,1.8200,0.3180
32,57.0034,59.0244,23.8795,12.3327
50,130.9713,135.4305,58.6740,40.7271
64,204.0787,211.9632,93.6131,71.7764
100,435.1499,450.2146,205.9617,176.9143
128,657.1627,689.4626,314.8917,286.1752
200,1018.0347,1116.5734,495.3771,496.7739
250,1203.1765,1353.8710,588.7264,616.9082
256,1218.0935,1374.0078,596.3026,627.1471
300,1329.9443,1528.7481,653.0768,707.5507
400,1480.7440,1746.7727,730.4322,824.2258
512,1564.4827,1885.1152,774.0390,900.9692
600,1595.0974,1939.7044,790.4058,933.3268
1000,1634.6552,1997.8710,812.9333,976.2498
1024,1631.5438,2010.7405,811.4903,983.0485
2000,1640.8424,2058.0523,818.2149,1017.2916
2048,1637.5031,2061.7170,816.6017,1019.3783
3000,1645.4871,2071.4912,821.2683,1027.8657
4096,1636.2364,2088.2272,817.0436,1038.2905
