N,n_newtonDefault_hessian_DP,o_newtonDefault_hessian_DP,n_newtonDefault_hessian_AVX,o_newtonDefault_hessian_AVX
10,194.5558,177.1626,0,0
32,72.5703,85.7228,0,0
50,47.2277,58.5904,0,0
64,38.5817,46.3321,0,0
100,25.1254,30.5312,0,0
128,19.9466,24.0722,0,0
200,12.8365,15.6045,0,0
250,10.2864,12.4180,0,0
256,10.0181,12.1313,0,0
300,8.5836,10.4185,0,0
400,6.4669,7.8484,0,0
512,5.0616,6.1418,0,0
600,4.3058,5.2379,0,0
1000,2.5805,3.1283,0,0
1024,2.5184,3.0314,0,0
2000,1.2952,1.5638,0,0
2048,1.2646,1.5248,0,0
3000,0.8669,1.0439,0,0
4096,0.6360,0.7637,0,0
