N,n_newtonGS_hessian_DP,o_newtonGS_hessian_DP,n_newtonGS_hessian_AVX,o_newtonGS_hessian_AVX
10,198.5870,201.0264,0,0
32,73.7333,87.4752,0,0
50,47.8196,60.1408,0,0
64,39.0515,47.8223,0,0
100,25.6318,31.3663,0,0
128,19.6119,24.7897,0,0
200,13.1242,15.8814,0,0
250,10.4590,12.7715,0,0
256,10.1487,12.3349,0,0
300,8.6690,10.6795,0,0
400,6.5342,7.9929,0,0
512,5.1131,6.2433,0,0
600,4.3725,5.3363,0,0
1000,2.6310,3.1944,0,0
1024,2.6379,3.1120,0,0
2000,1.3469,1.5890,0,0
2048,1.3009,1.5524,0,0
3000,0.9033,1.0606,0,0
4096,0.6558,0.7769,0,0
