N,n_newtonDefault_gradient_DP,o_newtonDefault_gradient_DP,n_newtonDefault_gradient_AVX,o_newtonDefault_gradient_AVX
10,798.9951,1106.4853,0,0
32,1956.7456,2265.3571,0,0
50,2380.0131,2508.9550,0,0
64,2579.3508,3004.0707,0,0
100,3017.2397,3420.0493,0,0
128,3243.4690,3626.5466,0,0
200,3572.2385,3977.0197,0,0
250,3701.0968,3933.5118,0,0
256,3648.4714,4095.4247,0,0
300,3719.3648,4148.0628,0,0
400,3807.8516,4290.4474,0,0
512,3908.7902,4183.0088,0,0
600,3642.9195,4245.1085,0,0
1000,3985.0929,4226.1942,0,0
1024,3884.7335,4172.2479,0,0
2000,4103.1060,4437.2128,0,0
2048,4097.4005,4397.0909,0,0
3000,4077.8805,4374.4366,0,0
4096,4100.9062,4308.2098,0,0
