N,n_newtonGS_gradient_DP,o_newtonGS_gradient_DP,n_newtonGS_gradient_AVX,o_newtonGS_gradient_AVX
10,1148.0703,964.9428,0,0
32,2142.3460,1960.3136,0,0
50,2568.0510,2465.8044,0,0
64,2868.1328,2671.2325,0,0
100,3221.4342,3176.4732,0,0
128,3345.6777,3203.9006,0,0
200,3764.9932,3823.4887,0,0
250,3873.6631,3936.8320,0,0
256,3911.0357,3889.6688,0,0
300,3761.7845,3980.7534,0,0
400,4030.7189,4243.9457,0,0
512,4095.4562,4406.1991,0,0
600,3652.7255,4430.1988,0,0
1000,4101.7597,4335.0733,0,0
1024,4097.6897,4454.7861,0,0
2000,3995.4435,4564.8807,0,0
2048,3855.2532,4499.0024,0,0
3000,4100.0828,4606.2886,0,0
4096,4272.8939,4581.6172,0,0
