N,n_newtonDefault_solver_DP,o_newtonDefault_solver_DP,n_newtonDefault_solver_AVX,o_newtonDefault_solver_AVX
10,1264.5701,1299.7505,695.1256,714.4641
32,3991.5745,4316.0947,3292.5277,3560.2145
50,5866.8262,5914.7892,5207.1074,5249.6770
64,6770.9226,6661.0287,6158.3114,6058.3603
100,7156.0205,7240.4293,6736.4616,6815.9215
128,7385.4264,7684.6002,7045.4619,7330.8642
200,7769.3435,8077.1116,7538.9763,7837.6188
250,8083.0889,7957.9093,7891.6760,7769.4607
256,7817.5587,7923.1281,7636.0081,7739.1258
300,8005.5676,8013.2155,7846.7070,7854.2031
400,8014.5283,8007.6538,7895.0170,7888.2450
512,8111.7234,7869.8825,8017.1016,7778.0817
600,8281.4803,8284.5211,8198.9912,8202.0016
1000,6333.5601,6557.3076,6295.6486,6518.0568
1024,5877.7005,6199.8707,5843.3404,6163.6273
2000,4227.9173,4224.6650,4215.2485,4212.0060
2048,4128.5074,4160.9393,4116.4261,4148.7632
3000,3942.0184,3949.8998,3934.1406,3942.0063
4096,3889.4446,3878.3032,3883.7505,3872.6254
