N,n_newtonGS_solver_DP,o_newtonGS_solver_DP,n_newtonGS_solver_AVX,o_newtonGS_solver_AVX
10,1489.4853,1737.4998,432.1439,55.4689
32,2357.4249,3189.7116,999.8399,664.3454
50,2431.4135,3091.2245,1098.2995,932.5616
64,2472.2265,2978.4468,1140.9466,1011.8738
100,2522.6344,2839.4858,1198.8407,1119.1407
128,2452.4738,2749.1302,1178.6873,1143.8048
200,2274.6529,2641.2004,1109.0266,1177.1190
250,2192.8301,2639.5891,1074.6390,1204.4414
256,2181.9156,2625.3744,1069.7282,1199.9324
300,2143.1518,2599.3903,1053.7722,1204.5093
400,2081.2964,2551.8136,1027.6706,1205.1828
512,2040.2594,2529.8491,1010.1858,1209.9708
600,2014.0114,2506.2692,998.6271,1206.6827
1000,1943.9917,2398.1989,967.1405,1172.3064
1024,1928.8770,2412.3910,959.7336,1179.8437
2000,1893.7735,2403.0214,944.5207,1188.0334
2048,1891.6583,2406.9179,943.5211,1190.2751
3000,1889.0558,2405.5794,942.9542,1193.7895
4096,1875.8545,2422.4322,936.7825,1204.5722
