N,n_newtonDefault,o_newtonDefault
10,267.6937,271.9996
32,299.7607,294.5885
50,343.6458,328.2122
64,380.6562,375.6482
100,530.5558,475.9398
128,627.9123,608.7032
200,13391.9903,15322.6011
250,25394.6296,28118.4173
256,29758.3105,30265.7694
300,38509.8071,38480.6492
400,47584.2782,47824.7402
512,50287.8008,51111.6241
600,53961.4631,54799.0588
1000,45252.7038,45687.5070
1024,42011.5083,43704.3338
2000,34361.5193,34532.3138
2048,33475.9668,33865.0655
3000,32608.4001,32762.3026
4096,32139.4655,32408.5704
