N,n_newtonDefault_hessian,o_newtonDefault_hessian
10,60594.2781,59707.0053
32,8439.2498,11623.4361
50,5239.8985,7295.8638
64,4569.1455,5735.8474
100,3918.5652,5025.2531
128,3517.0708,4338.5341
200,4311.9643,5225.6125
250,4727.3919,5679.4225
256,4809.4221,5678.0985
300,5040.2044,6147.3643
400,5327.9101,6507.6926
512,5527.9589,6762.7178
600,5588.5027,6774.4903
1000,5671.0592,6902.0729
1024,5676.0357,6920.4004
2000,5757.0892,6987.9081
2048,5771.2887,6985.5402
3000,5807.1338,7034.8026
4096,5846.3861,7031.8145
