N,n_newtonGS_hessian,o_newtonGS_hessian
10,59413.3367,60788.9104
32,9207.9226,11836.6650
50,5820.8340,6516.7174
64,4855.8255,5993.7700
100,3820.8334,4168.4026
128,3649.4326,4537.8056
200,4806.8918,5556.0621
250,5047.6607,6135.1851
256,5125.3150,6108.1839
300,5379.1029,6504.0112
400,5558.7065,6754.8742
512,5873.1126,7037.9839
600,6044.5376,7028.7123
1000,6195.5645,7113.4786
1024,6235.3047,7156.9045
2000,6349.4302,7230.4990
2048,6334.8867,7236.2484
3000,6343.6056,7253.6415
4096,6363.9997,7276.8241
