N,n_newtonDefault_gradient,o_newtonDefault_gradient
10,174668.5890,172035.1949
32,123550.7129,134543.0303
50,100262.6329,110691.5705
64,89181.3450,93189.8626
100,75218.3017,81106.2241
128,62831.4554,67684.1395
200,48942.6695,47263.1700
250,42076.2420,40196.2501
256,42188.1774,38352.8246
300,36069.1665,38296.2175
400,29013.6962,32011.8171
512,26694.0054,25009.0851
600,24355.7037,24483.0059
1000,19873.5712,20350.8584
1024,22243.4132,20108.5978
2000,16242.1063,18271.6355
2048,15780.3306,17358.7771
3000,13413.7483,14416.9090
4096,12550.9362,14911.8367
