N,n_newtonDefault_solver,o_newtonDefault_solver
10,37704.2164,37935.5556
32,6117.6739,6110.2091
50,3053.2249,2625.3342
64,2197.4341,2076.4107
100,1185.9117,1049.3998
128,988.7249,915.5212
200,25733.3738,28836.3406
250,39052.5911,42559.5462
256,44376.9603,44542.2030
300,51663.7613,50980.5381
400,56040.9014,55643.5671
512,55726.7885,55975.0710
600,58412.9216,58801.6693
1000,46541.0295,46799.2857
1024,43075.2037,44666.9760
2000,34618.5490,34746.9980
2048,33707.7840,34063.8736
3000,32752.4429,32882.1042
4096,32241.0958,32492.1279
