N,n_newtonGS_solver,o_newtonGS_solver
10,9146.6300,9646.0100
32,1977.1426,2642.3068
50,1202.0778,1272.8290
64,996.4990,1118.6721
100,775.4411,755.3799
128,728.8413,769.2022
200,6442.3132,7538.2250
250,8829.6012,10860.2339
256,8975.7498,10880.0769
300,8819.8573,10724.2148
400,8577.0920,10441.8320
512,8325.8145,10346.2007
600,8392.2283,10239.3039
1000,10573.6999,12994.3117
1024,10717.4946,13442.0252
2000,14621.7752,18493.5367
2048,14722.4613,18570.1391
3000,14840.6819,18828.6125
4096,14900.2241,19220.7953
