N,n_newtonDefault_DP,o_newtonDefault_DP,n_newtonDefault_AVX,o_newtonDefault_AVX
10,2.0817,2.0578,0.8631,0.8580
32,38.4688,38.3295,30.7975,30.6948
50,137.5591,136.0995,120.5081,119.2388
64,275.3942,274.2896,248.5727,247.5851
100,912.0046,914.6186,855.7588,858.2203
128,1652.2813,1785.2523,1573.2011,1699.8163
200,3864.5182,3869.6872,3746.9354,3751.9520
250,4954.4356,5017.2575,4834.6492,4895.9554
256,4978.4671,5035.0075,4860.5130,4915.7169
300,5786.7417,5802.4440,5669.9050,5685.2925
400,6686.9072,6766.5843,6585.8857,6664.3602
512,7241.1930,7092.6606,7155.8654,7009.0838
600,7609.5347,7658.4527,7533.0755,7581.5023
1000,6272.5214,6190.0182,6234.7781,6152.7714
1024,5889.4531,5991.4187,5854.8483,5956.2148
2000,4178.2063,4201.3290,4165.6537,4188.7069
2048,4059.8640,4177.0417,4047.9532,4164.7871
3000,3942.5016,3949.4825,3934.6091,3941.5759
4096,3975.9064,3895.2082,3970.0783,3889.4983
