N,n_newtonGS_DP,o_newtonGS_DP,n_newtonGS_AVX,o_newtonGS_AVX
10,6.6500,7.8156,1.8373,0.1033
32,57.0137,62.5737,23.8838,13.3052
50,130.7717,137.5863,58.5846,41.1869
64,203.7449,217.4305,93.4600,74.6878
100,436.9279,1441.8541,206.8033,575.7964
128,658.5261,677.4331,315.5450,283.2970
200,1016.7569,1137.4155,494.7553,508.9494
250,1198.4688,1359.1750,586.4229,619.8694
256,1225.3939,1384.4158,599.8764,634.2666
300,1327.3614,1554.5486,651.8084,721.9584
400,1480.4249,1767.0034,730.2748,835.7967
512,1564.0990,1881.3280,773.8492,900.8419
600,1595.1590,1960.7013,790.4363,945.0406
1000,1634.2124,2014.6870,812.7131,985.4518
1024,1625.9157,2012.1511,808.6910,984.6553
2000,1636.6597,2072.9178,816.1292,1025.1348
2048,1634.7622,2067.2109,815.2349,1022.5702
3000,1639.8345,2083.8613,818.4471,1034.3404
4096,1634.2619,2092.3525,816.0577,1040.5835
