N,n_newtonDefault_hessian_DP,o_newtonDefault_hessian_DP,n_newtonDefault_hessian_AVX,o_newtonDefault_hessian_AVX
10,190.7548,194.2635,0,0
32,72.5279,83.2471,0,0
50,47.0103,55.6171,0,0
64,38.8539,46.1532,0,0
100,25.3960,30.6776,0,0
128,19.7990,24.3327,0,0
200,12.7526,15.8096,0,0
250,10.3097,12.1273,0,0
256,10.0762,12.2878,0,0
300,8.5671,10.6143,0,0
400,6.4815,8.0070,0,0
512,5.0603,6.2541,0,0
600,4.3123,5.3341,0,0
1000,2.5785,3.1993,0,0
1024,2.5211,3.1291,0,0
2000,1.2970,1.5654,0,0
2048,1.2652,1.5694,0,0
3000,0.8677,1.0523,0,0
4096,0.6361,0.7851,0,0
