N,n_newtonGS_hessian_DP,o_newtonGS_hessian_DP,n_newtonGS_hessian_AVX,o_newtonGS_hessian_AVX
10,196.3493,206.8767,0,0
32,72.7362,84.0963,0,0
50,49.3673,56.2707,0,0
64,39.3120,44.6511,0,0
100,25.4981,31.1590,0,0
128,20.0885,24.0883,0,0
200,13.0393,15.9831,0,0
250,10.4167,12.2105,0,0
256,10.1182,12.5805,0,0
300,8.7307,10.7645,0,0
400,6.5313,8.0840,0,0
512,5.1167,6.3620,0,0
600,4.3671,5.4167,0,0
1000,2.6211,3.2632,0,0
1024,2.5636,3.1944,0,0
2000,1.3166,1.6309,0,0
2048,1.2863,1.6038,0,0
3000,0.8798,1.0859,0,0
4096,0.6456,0.8016,0,0
