N,n_newtonGS_gradient_DP,o_newtonGS_gradient_DP,n_newtonGS_gradient_AVX,o_newtonGS_gradient_AVX
10,993.8728,791.7748,0,0
32,2015.7074,2008.6625,0,0
50,2455.3563,2266.4223,0,0
64,2653.6373,2714.8559,0,0
100,3050.2749,2785.0706,0,0
128,3182.5984,3456.7171,0,0
200,3555.8416,3719.8378,0,0
250,3690.5521,3799.2598,0,0
256,3638.6301,3911.7324,0,0
300,3734.6964,3973.3756,0,0
400,3958.3117,4224.1019,0,0
512,4035.4842,4335.3796,0,0
600,3699.4767,4337.2271,0,0
1000,4112.1323,4251.3076,0,0
1024,4091.9105,4325.4250,0,0
2000,4206.5124,4486.0854,0,0
2048,4167.1322,4496.5095,0,0
3000,4217.5127,4417.6965,0,0
4096,4260.8320,4550.2140,0,0
