N,n_newtonDefault_solver_DP,o_newtonDefault_solver_DP,n_newtonDefault_solver_AVX,o_newtonDefault_solver_AVX
10,1246.8149,1248.0223,685.3657,686.0294
32,3981.3470,4174.0512,3284.0913,3443.0471
50,5821.2135,5915.3464,5166.6237,5250.1715
64,6781.8412,6680.7442,6168.2421,6076.2920
100,7224.4229,7237.8873,6800.8535,6813.5285
128,7433.9170,7601.9882,7091.7203,7252.0549
200,8024.2457,7933.2328,7786.3205,7698.0061
250,7980.1680,7957.5719,7791.1923,7769.1313
256,7716.7874,7738.1190,7537.5771,7558.4133
300,8021.0413,7925.8769,7861.8736,7768.5976
400,8017.2299,8021.8975,7897.6783,7902.2764
512,8118.9665,7846.0221,8024.2603,7754.4997
600,8311.5056,8288.8349,8228.7173,8206.2724
1000,6479.1945,6362.7127,6440.4113,6324.6267
1024,6065.0293,6148.1066,6029.5741,6112.1657
2000,4216.1163,4233.5324,4203.4829,4220.8468
2048,4094.7203,4208.0256,4082.7379,4195.7116
3000,3964.1396,3967.6374,3956.2176,3959.7084
4096,3991.7586,3907.9143,3985.9147,3902.1932
