N,n_newtonGS_solver_DP,o_newtonGS_solver_DP,n_newtonGS_solver_AVX,o_newtonGS_solver_AVX
10,1486.8461,1857.8054,431.3782,0
32,2350.6901,3308.9459,996.9835,702.4067
50,2429.7897,3172.5021,1097.5660,953.3133
64,2428.0766,2967.1155,1120.5712,1023.2610
100,2512.0726,2834.1200,1193.8213,1132.5570
128,2457.4222,2741.3567,1181.0656,1149.5393
200,2269.3247,2636.0088,1106.4288,1181.7487
250,2189.8130,2645.7472,1073.1605,1208.5332
256,2195.5330,2631.2487,1076.4044,1207.3514
300,2142.2095,2604.3351,1053.3089,1211.0762
400,2084.0373,2553.1793,1029.0240,1208.8605
512,2042.7286,2523.7883,1011.4084,1209.4412
600,2014.8155,2513.5505,999.0258,1212.3245
1000,1944.7266,2411.3579,967.5060,1179.9589
1024,1929.0216,2419.5028,959.8055,1184.4805
2000,1894.5237,2410.4344,944.8949,1192.2948
2048,1891.0779,2413.3530,943.2316,1194.0410
3000,1888.9926,2408.9198,942.9226,1195.8504
4096,1877.5849,2427.6601,937.6466,1207.4666
