N,n_newtonDefault,o_newtonDefault
10,286.7184,260.0713
32,307.0431,294.6913
50,363.3197,319.7635
64,397.8875,339.3599
100,703.1124,506.3810
128,1750.4137,864.5570
200,13731.3140,18557.1159
250,25706.2497,25845.9429
256,29168.9654,28345.2775
300,37808.4252,37923.0857
400,47949.3201,48084.4926
512,50337.4236,51253.6385
600,54248.7967,54675.9667
1000,45385.6360,45409.1282
1024,42807.5852,44936.3406
2000,34304.8790,34414.4030
2048,33325.3067,34111.8249
3000,32574.5211,32944.7981
4096,32520.2311,32784.3460
