N,n_newtonDefault_hessian,o_newtonDefault_hessian
10,65422.3588,49304.9562
32,9945.1303,10454.2847
50,5920.5561,7032.2762
64,4695.1571,5295.6292
100,3584.4989,4611.0808
128,3566.8281,4123.1342
200,4274.4832,5145.9849
250,4753.8970,5593.2148
256,4825.4408,5768.9974
300,5018.2965,6110.2776
400,5361.8474,6469.2829
512,5477.1069,6757.1106
600,5566.9998,6788.4992
1000,5663.7848,6846.0743
1024,5668.4434,6878.2570
2000,5800.2435,6959.7572
2048,5789.4963,6965.6482
3000,5814.5074,7023.8390
4096,5842.9885,7051.7607
