N,n_newtonGS_hessian,o_newtonGS_hessian
10,61194.2093,59257.7884
32,10232.2498,10551.6937
50,6235.8473,6556.0186
64,4887.1330,5288.8990
100,4138.0806,4605.7548
128,3818.8511,4938.1240
200,4675.2809,5873.7501
250,4952.4981,6090.2445
256,5100.0765,6162.3278
300,5393.5247,6509.6828
400,5627.2070,6792.9765
512,5727.2934,6941.1838
600,5805.1047,7025.5749
1000,5890.0575,7109.9578
1024,5893.9129,7174.2674
2000,6005.5428,7237.3469
2048,6003.2048,7250.0039
3000,6030.9046,7263.2419
4096,6056.5266,7266.1552
