N,n_newtonDefault_gradient,o_newtonDefault_gradient
10,207333.0681,207827.6748
32,124712.3529,126047.3624
50,97993.9138,101850.9429
64,90871.7797,94958.2723
100,79219.7065,80405.9278
128,65334.0654,66230.2819
200,48368.0822,50631.2700
250,42865.0414,45660.4659
256,40172.2082,41576.2841
300,37474.5187,36448.2175
400,32188.1678,33034.1080
512,27216.8235,31185.3874
600,25771.0234,28436.9922
1000,21934.4656,21600.6456
1024,21553.6965,21588.6538
2000,17080.6128,16780.4120
2048,14733.5738,16148.0524
3000,14494.4461,15351.3534
4096,13585.6188,13602.6629
