N,n_newtonGS_gradient,o_newtonGS_gradient
10,214133.4523,178541.8642
32,109549.5442,120785.7226
50,92036.6312,83304.5386
64,90210.8666,92283.9331
100,72866.4547,72721.1635
128,70382.1675,61166.3776
200,51215.1729,51052.3791
250,43207.6498,46144.5003
256,43926.9421,44199.5786
300,36246.7113,39201.7401
400,33290.3459,34482.4157
512,27355.7813,31308.5566
600,26863.0204,28443.8787
1000,21946.9362,21915.0608
1024,20587.2544,23087.7683
2000,15713.8010,16512.1261
2048,16164.5943,16185.8449
3000,15457.8080,15917.4310
4096,14067.9938,14701.0103
