N,n_newtonDefault_solver,o_newtonDefault_solver
10,36138.2791,35099.2220
32,5954.7016,6208.6544
50,3131.1458,2890.9713
64,2045.2278,1863.0688
100,2444.4537,1145.1017
128,5656.5189,1669.3833
200,26276.5552,34311.6759
250,39347.5486,39080.6476
256,43445.3358,41646.3436
300,50670.2097,50051.7803
400,56398.0040,55872.1172
512,55770.5747,56018.9124
600,58742.3249,58645.9059
1000,46692.6075,46494.4150
1024,43949.6187,45957.0616
2000,34565.5706,34626.2848
2048,33564.0068,34313.3620
3000,32721.4861,33065.1926
4096,32625.9526,32869.1113
