N,n_newtonGS_solver,o_newtonGS_solver
10,9388.6312,8961.4560
32,1952.2898,2389.1413
50,1112.5249,1657.7883
64,902.5005,1137.3058
100,798.1367,177.4961
128,1087.8419,785.3354
200,6938.8614,6984.5828
250,8829.7926,10659.5372
256,8800.2192,10769.0580
300,8884.8347,10700.2434
400,8577.3340,10438.4110
512,8358.3366,10344.7025
600,8430.4802,10673.3288
1000,10793.3949,13347.0810
1024,11064.7592,13471.5921
2000,14637.6366,18457.2564
2048,14679.3402,18573.1465
3000,14844.6708,18836.4581
4096,14898.1950,19248.7725
